Groups:
AMdemod:AMdemod|demod_out[17..0] =, AMdemod:AMdemod|demod_out[17], AMdemod:AMdemod|demod_out[16], AMdemod:AMdemod|demod_out[15], AMdemod:AMdemod|demod_out[14], AMdemod:AMdemod|demod_out[13], AMdemod:AMdemod|demod_out[12], AMdemod:AMdemod|demod_out[11], AMdemod:AMdemod|demod_out[10], AMdemod:AMdemod|demod_out[9], AMdemod:AMdemod|demod_out[8], AMdemod:AMdemod|demod_out[7], AMdemod:AMdemod|demod_out[6], AMdemod:AMdemod|demod_out[5], AMdemod:AMdemod|demod_out[4], AMdemod:AMdemod|demod_out[3], AMdemod:AMdemod|demod_out[2], AMdemod:AMdemod|demod_out[1], AMdemod:AMdemod|demod_out[0],  signed decimal

Data:
time unit: s, AMdemod:AMdemod|demod_out[17..0], AMdemod:AMdemod|demod_out[17], AMdemod:AMdemod|demod_out[16], AMdemod:AMdemod|demod_out[15], AMdemod:AMdemod|demod_out[14], AMdemod:AMdemod|demod_out[13], AMdemod:AMdemod|demod_out[12], AMdemod:AMdemod|demod_out[11], AMdemod:AMdemod|demod_out[10], AMdemod:AMdemod|demod_out[9], AMdemod:AMdemod|demod_out[8], AMdemod:AMdemod|demod_out[7], AMdemod:AMdemod|demod_out[6], AMdemod:AMdemod|demod_out[5], AMdemod:AMdemod|demod_out[4], AMdemod:AMdemod|demod_out[3], AMdemod:AMdemod|demod_out[2], AMdemod:AMdemod|demod_out[1], AMdemod:AMdemod|demod_out[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
39, 9453, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 
40, 7909, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 
41, -126616, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 
42, -101, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 
43, -4341, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 
44, -3699, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 
45, 3694, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 
46, 11210, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 
47, 12638, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 
48, 10430, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 
49, 9063, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 
50, 7922, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 
51, -126659, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 
52, -288, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 
53, -4166, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 
54, -3191, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 
55, 3849, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 
56, 10937, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 
57, 12664, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 
58, 10954, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 
59, 9453, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 
60, 7909, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 
61, -126616, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 
62, -101, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 
63, -4341, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 
64, -3699, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 
65, 3694, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 
66, 11210, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 
67, 12638, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 
68, 10430, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 
69, 9063, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 
70, 7922, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 
71, -126659, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 
72, -288, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 
73, -4166, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 
74, -3191, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 
75, 3849, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 
76, 10937, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 
77, 12664, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 
